artid,catid,"art_name","art_name_eng","art_details","art_details_eng",art_price,id_ext,"ref",stock,"date",escaparate
567,187,"MelÛn",""," Dimensiones 2,8 cm.","",1.8,1,"C31b    ",50,"9, 5, 2008",0
568,190,"Cazo cobre","","Elaborado con estaÔøΩo y baÔøΩo de cobre. Medidas de largo 3,8cm.","",1.2,1,"M1   ",150,"10, 5, 2008",0
569,190,"Espumadera cobre","","Elaborado con estaÔøΩo y baÔøΩo de cobre. Medidas de largo 3,8cm.","",1.2,1,"M2  ",150,"10, 5, 2008",0
570,190,"Tenedor cobre","","Elaborado con estaÔøΩo y baÔøΩo de cobre. Medidas de largo 3,8cm.","",1.2,1,"M3  ",100,"10, 5, 2008",0
571,190,"Cuchara cobre","","Elaborado con estaÔøΩo y baÔøΩo de cobre. Medidas de largo 3,8cm.","",1.2,1,"M4   ",100,"10, 5, 2008",0
572,190,"Jarrillo cobre","","Elaborado con estaÔøΩo y baÔøΩo de cobre. Medidas de alto 1,8cm.","",2.4,1,"M5  ",50,"10, 5, 2008",0
573,190,"Olla cobre y tapa","","Elaborado con estaÔøΩo y baÔøΩo de cobre. Medidas de alto 1cm. y diametro 2,2cm. Precio de la olla y la tapadera","",2.4,1,"M6  ",50,"10, 5, 2008",0
575,190,"SartÈn cobre","","Elaborado con estaÔøΩo y baÔøΩo de cobre. Medidas de largo 6cm. Diametro 2,8cm.","",2.4,1,"M8   ",100,"10, 5, 2008",0
576,190,"Cacito pequeÒo cobre","","Elaborado con estaÔøΩo y baÔøΩo de cobre. Medidas de alto 0, 6cm. Diametro 1,7cm. Precio unidad.","",1.8,1,"M9   ",75,"10, 5, 2008",0
577,190,"Cacito mediano cobre","","Elaborado con estaÔøΩo y baÔøΩo de cobre. Medidas de alto 1cm. Diametro 2,2cm. Precio unidad","",1.8,1,"M10  ",75,"10, 5, 2008",0
578,190,"Tetera cobre","","Elaborado con estaÔøΩo y baÔøΩo de cobre. La tapadera se puede quitar. Medidas de alto 1,6cm. Diametro 1,8cm.","",2.4,1,"M11  ",75,"10, 5, 2008",0
579,190,"Espumadera negra","","Elaborado con estaÔøΩo y pintado en negro. Medida de largo 3,8cm.","",1.2,1,"M12  ",50,"10, 5, 2008",0
580,190,"Olla  negra tapadera","","Elaborado con estaÔøΩo y pintado en negro. Medida de alto 1cm. Diametro 2,2cm.","",2.4,1,"M13  ",50,"10, 5, 2008",0
581,190,"SartÈn  negra","","Elaborado con estaÒo y pintado en negro. Medida de largo 6cm. Di·metro 2,8cm.","",2.4,1,"M15   ",100,"10, 5, 2008",0
582,190,"Cacito peq.  negro","","Elaborado con estaÔøΩo y pintado en negro. TamaÔøΩo pequeÔøΩo. Medida de alto 0,6cm. Diametro 1,7cm.","",1.8,1,"M16  ",0,"10, 5, 2008",0
583,190,"Cacito negro y tapa","","Elaborado con estaÔøΩo y pintado en negro. TamaÔøΩo mediano. Medida de alto 1cm. Diametro 2,2cm.","",3,1,"M17  ",50,"10, 5, 2008",0
584,190,"Molinillo de cafÔøΩ","","Elaborado con estaÔøΩo. Medida de alto 2cm.","",3.6,1,"M18  ",150,"10, 5, 2008",0
585,190,"Maquina de picar","","Elaborado con estaÔøΩo. Medida de alto 4,3cm.","",3,1,"M19  ",150,"10, 5, 2008",0
586,190,"Maquina de chorizos",""," Elaborado con estaÔøΩo. Medida de largo sin el mango 4,5cm.","",7.8,1,"M20  ",30,"10, 5, 2008",0
587,190,"Perol",""," Elaborado con estaÔøΩo.  Diametro 4,6cm.","",3.6,1,"M21  ",100,"10, 5, 2008",0
588,190,"Juego perol trebedes",""," Conjunto de varias piezas. TambiÔøΩn se venden por separado. Diametro del perol 4,6cm. Precio del conjunto","",10.9,1,"M21b  ",2,"10, 5, 2008",0
589,190,"Trebedes grandes","","Elaborado con estaÔøΩo. Diametro 3,7cm y 2cm. de alto.","",3.6,1,"M22    ",125,"10, 5, 2008",0
590,190,"TrÔøΩbedes pequeÔøΩas","","Elaborado con estaÔøΩo. Diametro 2,5cm y 2cm. de alto. Precio unidad.","",3.6,1,"M23  ",100,"10, 5, 2008",0
591,190,"Vertedor grande","","Elaborado con estaÔøΩo. Dimensiones de largo 4,3cm.","",2.4,1,"M24  ",50,"10, 5, 2008",0
592,190,"Vertedor","","Elaborado con estaÔøΩo y mango de madera. Dimensiones de largo 3,2cm.","",2.4,1,"M25  ",50,"10, 5, 2008",0
593,190,"Paleta candela","","Elaborado con estaÔøΩo. Dimensiones de largo 6cm.","",2.4,1,"M26  ",100,"10, 5, 2008",0
594,190,"Tijeras candela","","Elaborado con estaÔøΩo. Dimensiones de largo 3,5cm.","",2.4,1,"M27  ",100,"10, 5, 2008",0
595,190,"Mortero amarillo","","Conjunto de dos piezas, la maza esta elaborada con estaÔøΩo baÔøΩado en cobre y el mortero es de ceramica vidriada. Precio del conjunto. Diametro 2,2cm.","",3,1,"M28  ",100,"10, 5, 2008",0
596,190,"Mortero azul","","Cojunto de dos piezas, la maza esta elaborada con estaÔøΩo  baÔøΩado en cobre, el mortero es de ceramica vidriada. Precio del conjunto. Dimensiones de alt","",3,1,"M28b  ",50,"10, 5, 2008",0
597,190,"Fuelle","","Elaborado con estaÔøΩo.  Dimensiones de largo 4,8cm.","",3.4,1,"M29  ",75,"10, 5, 2008",0
598,190,"Regadera","","Elaborado con estaÔøΩo.  Dimensiones de alto 2,5cm.","",3,1,"M30  ",75,"10, 5, 2008",0
599,191,"Peso","","Dimensiones 5,5 x 2,9 y 3,5 cm. de alto","",4.5,1,"M31  ",30,"10, 5, 2008",0
600,190,"Peso metal","","Dimensiones 5 x 2 cm. Elaborado con estaÔøΩo.","",3.6,1,"M32  ",50,"10, 5, 2008",0
601,190,"Candil forja","","Dimensiones 2,5 cm. Elaborado con estaÔøΩo.","",3.6,1,"M33  ",75,"10, 5, 2008",0
602,190,"Caldero","","Dimensiones 1,5 cm de alto y 2,5 de diametro. Elaborado con estaÔøΩo.","",1.8,1,"M34  ",75,"10, 5, 2008",0
603,190,"Plancha","","Dimensiones 2,6 x 1,8cm de alto. Elaborado con estaÔøΩo.","",3,1,"M35  ",100,"10, 5, 2008",0
604,190,"Mueble con plancha","","Dimensiones 3 x 1,6 x 3,6cm de alto.","",6.6,1,"M36  ",30,"10, 5, 2008",0
605,190,"Romana","","Dimensiones 8,3cm de largo. Elaborado con estaÔøΩo","",3.6,1,"M37  ",100,"10, 5, 2008",0
606,190,"SartÈn con comida","","Dimensiones de la sartÈn 6 cm de largo. Elaborado con estaÒo","",4.2,1,"M38   ",0,"10, 5, 2008",0
607,190,"Tijeras pequeÒas","","Dimensiones  2 cm de largo. Elaborado con estaÒo","",2.2,1,"M39    ",100,"10, 5, 2008",0
608,190,"Tijeras medianas","","Dimensiones  2,7 cm. de largo. Elaborado con estaÔøΩo","",1.8,1,"M40  ",75,"10, 5, 2008",0
609,190,"Cascanueces","","Dimensiones  2,5 cm. de largo. Elaborado con estaÔøΩo","",1.2,1,"M41  ",50,"10, 5, 2008",0
610,190,"Cuchara pequeÒa","","Dimensiones  2,5 cm. de largo. Se vende por separado, precio de la cuchara. Elaborado con estaÔøΩo","",1.2,1,"M42  ",75,"10, 5, 2008",0
611,190,"Tenedor pequeÒo","","Dimensiones  2,5 cm. de largo. Se vende por separado, precio del tenedor. Elaborado con estaÔøΩo","",1.2,1,"M43   ",75,"10, 5, 2008",0
612,190,"Cuchillo pequeÒo","","Dimensiones  2,5 cm. de largo. Se vende por separado, precio del cuchillo. Elaborado con estaÔøΩo","",1.2,1,"M44   ",75,"10, 5, 2008",0
613,190,"Cuchillo","","Dimensiones  4 cm. de largo en total. Elaborado con estaÔøΩo y madera.","",2.4,1,"M45  ",150,"10, 5, 2008",0
614,190,"Palmatoria con vela","","Dimensiones   cm. de alto . Elaborado con estaÔøΩo y cera.","",4.2,1,"M46  ",50,"10, 5, 2008",0
615,190,"Churrera","","Dimensiones  5 cm. de largo . Elaborado con estaÔøΩo y madera.","",3.6,1,"M47  ",75,"10, 5, 2008",0
616,191,"Cubo madera","","Dimensiones  3,9 cm. de alto y 2,5 de diametro.","",2,1,"M48  ",40,"10, 5, 2008",0
617,191,"Cubo ca√±a","","Dimensiones  3,2 cm. de alto y 2,2 de diÔøΩmetro.","",2,1,"M49    ",30,"10, 5, 2008",0
618,191,"Cubeta","","Dimensiones  2,1 cm. de alto y 2,2 de diametro.","",1.8,1,"M50  ",20,"10, 5, 2008",0
619,191,"Cuenco madera","","Dimensiones  1,2 cm. de alto y 2,8 de diametro.","",1.8,1,"M51  ",30,"10, 5, 2008",0
620,191,"Garrafa de madera","","Dimensiones  4,3 cm. de alto y 1,6 de diametro.","",2.5,1,"M52  ",20,"10, 5, 2008",0
621,191,"Garrafa peque√±a","","Dimensiones  3 cm. de alto y 2 de diametro. Precio de una garrafa pequeÔøΩa.","",3,1,"M53    ",30,"10, 5, 2008",0
622,191,"Garrafa mediana","","Dimensiones  4,2cm. de alto y 2,9 de diametro. Precio de una garrafa mediana","",3,1,"M54  ",30,"10, 5, 2008",0
623,191,"Garrafa grande","","Dimensiones  4,8cm. de alto y 3,5 de diametro.Precio de una garrafa grande.","",3.5,1,"M55  ",20,"10, 5, 2008",0
624,191,"Barril mini","","Dimensiones 2,2 cm. de alto y 1,5 de diametro. Precio de un barril mini.","",2,1,"M56   ",20,"10, 5, 2008",0
625,191,"Barril pequeÔøΩo","","Dimensiones  3 cm. de alto y 2,1 de diametro. Precio de un barril pequeÔøΩo.","",2,1,"M57  ",75,"10, 5, 2008",0
626,191,"Barril mediano","","Dimensiones  4,1 cm. de alto y 2,8 de diametro. Precio de un barril mediano.","",2.5,1,"M58  ",75,"10, 5, 2008",0
627,191,"Barril grande","","Dimensiones  5 cm. de alto y 3,8 de diametro. Precio de un barril grande.","",3,1,"M59 ",25,"10, 5, 2008",0
628,191,"Carrucha pozo peq.","","Diametro 1,5cm. Precio de una carrucha pequeÔøΩa.","",2.2,1,"M60  ",75,"11, 5, 2008",0
629,191,"Carrucha pozo gr.","","Diametro 2cm. Precio de una carrucha grande.","",2.2,1,"M62  ",75,"11, 5, 2008",0
630,191,"Cedazo redondo peq.","","Diametro 2,5cm.","",1.5,1,"M63  ",75,"11, 5, 2008",0
631,191,"Cedazo redondo gr.","","Diametro 3,8cm.","",3,1,"M64  ",30,"11, 5, 2008",0
632,191,"Cedazo cuadrado","","Dimensiones 3,5 x 4,7cm.","",3,1,"M65  ",30,"11, 5, 2008",0
633,191,"Rodillo","","Dimensiones 5cm de largo.","",1.8,1,"M66 ",75,"11, 5, 2008",0
634,191,"Tapadera","","Diametro  3.8cm.","",1.8,1,"M67  ",100,"11, 5, 2008",0
635,191,"Tapadera pequeÔøΩa","","Diametro  cm.","",1.5,1,"M68 ",50,"11, 5, 2008",0
636,191,"Tapadera mini","","Diametro  cm.","",1.5,1,"M69 ",50,"11, 5, 2008",0
638,196,"Azada","","Medidas 6,6cm de largo. Elaborada con estaÒo y madera.","",3.4,1,"H1 ",100,"11, 5, 2008",0
639,196,"Barrena","","Medidas 2,5cm de largo. Elaborada con estaÒo y madera.","",3,1,"H2 ",100,"11, 5, 2008",0
640,196,"Lima","","Medidas 4,5cm. de largo. Elaborada con estaÒo y madera.","",3,1,"H3 ",100,"11, 5, 2008",0
641,196,"Hoz","","Medidas 4,5cm. de largo. Elaborada con estaÒo y madera.","",3,1,"H4 ",100,"11, 5, 2008",0
642,196,"Martillo","","Medidas 3,6cm. de largo. Elaborado con estaÒo y madera.","",3.5,1,"H5 ",100,"11, 5, 2008",0
643,196,"Pala metal","","Medidas 7,7cm. de largo. Elaborada con estaÒo y madera.","",3.5,1,"H6 ",100,"11, 5, 2008",0
644,196,"Horca de metal","","Medidas 10,2cm. de largo. Elaborada con estaÒo y madera.","",3,1,"H7 ",100,"11, 5, 2008",0
645,196,"Palustre","","Medidas 4 cm. de largo. Elaborado con estaÒo y madera.","",3.4,1,"H8 ",100,"11, 5, 2008",0
646,196,"Rastrillo metal","","Medidas 6,5 cm. de largo. Elaborado con estaÒo y madera.","",3.6,1,"H9 ",100,"11, 5, 2008",0
647,196,"Martillo de pico","","Medidas 3,8 cm. de largo. Elaborado con estaÒo y madera.","",3.4,1,"H10 ",100,"11, 5, 2008",0
648,196,"Cepillo carpintero g","","Medidas 2,2 x 1,3 x 2,5cm.Precio de un cepillo tamaÒo grande.","",6.3,1,"H11 ",25,"11, 5, 2008",0
649,196,"Cepillo carpintero m","","Medidas 2,7 x 1,1 x 1,6cm. Precio de un cepillo tamaÒo mediano.","",4.85,1,"H13 ",75,"11, 5, 2008",0
650,196,"Cepillo carpintero p","","Medidas 2 x 0,7 x 1,1cm. Precio de un cepillo tamaÒo pequeÒo.","",3.6,1,"H14 ",75,"11, 5, 2008",0
651,196,"Garlopa","","Medidas 4,8 x 1,2 x 1,3cm.","",6.4,1,"H12 ",30,"11, 5, 2008",0
652,196,"Tenazas","","Medidas 3,6cm de largo. Elaborada con estaÒo.","",3.4,1,"H15 ",50,"11, 5, 2008",0
653,196,"Serrucho","","Medidas 5,1cm de largo. Elaborado con estaÒo.","",3.45,1,"H16 ",150,"11, 5, 2008",0
654,196,"Hacha","","Medidas 4cm de largo. Elaborada con estaÒo y madera.","",3.3,1,"H17 ",100,"11, 5, 2008",0
655,196,"Sierra de carpintero","","Medidas 5,4 x 3,8cm de largo. Elaborada con madera.","",5.8,1,"H18 ",75,"11, 5, 2008",0
656,196,"GuadaÒa","","Medidas 8,5cm de largo. Elaborada con madera y estaÒo.","",4.2,1,"H19 ",75,"11, 5, 2008",0
657,196,"Tijeras de podar","","Medidas 3,3cm de largo. Elaborada con  estaÒo.","",3.6,1,"H20  ",75,"11, 5, 2008",0
658,196,"Pala de panadero","","Medidas 12,5cm de largo.","",5,1,"H21  ",50,"11, 5, 2008",0
659,196,"Rastrillo madera","","Medidas 8cm de largo.","",4.9,1,"H22 ",50,"11, 5, 2008",0
660,196,"Biergo","","Medida 11cm de largo.","",4.9,1,"H23 ",50,"11, 5, 2008",0
661,196,"Hoz grande","","Medidas 8,6 x 4,5cm.","",8.5,1,"H24 ",25,"11, 5, 2008",0
662,196,"Escardilla grande","","Medidas 7,5cm. Elaborada con estaÒo y madera.","",8.5,1,"H25 ",25,"11, 5, 2008",0
663,196,"Amocafre","","Medidas 5,5cm. Elaborado con estaÒo y madera.","",8.5,1,"H26 ",25,"11, 5, 2008",0
664,196,"Azada grande","","Medidas 10,5cm. Elaborada con estaÒo y madera.","",8.5,1,"H27 ",25,"11, 5, 2008",0
665,196,"Rastrillo mediano","","Medidas 14,5cm. Elaborado con estaÒo y madera. Precio del tamaÒo mediano.","",8.5,1,"H28 ",25,"11, 5, 2008",0
666,196,"Rastrillo grande","","Medidas 17cm de largo y 8 de ancho. Elaborado con estaÒo y madera. Precio del tamaÒo grande.","",10,1,"H29 ",25,"11, 5, 2008",0
667,196,"Horca mediana","","Medidas 15,4cm de largo. Elaborada con estaÒo y madera. Precio del tamaÒo mediano.","",8.5,1,"H30 ",25,"11, 5, 2008",0
668,196,"Horca grande","","Medidas 19,5cm. de largo y 3,7 de ancho. Elaborada con estaÒo y madera. Precio del tamaÒo grande.","",10,1,"H31 ",25,"11, 5, 2008",0
669,196,"Martillo mini","","Medidas 2,2 cm. Elaborado con estaÒo.","",2.1,1,"H39 ",75,"11, 5, 2008",0
670,197,"B. Carpintero gr.","","Medidas 16 x 6,2 x 7,8 cm. Para figuras de 14cm. Elaborado con madera.","",32.6,1,"H32  ",40,"11, 5, 2008",1
671,197,"B. Carpintero peq.","","Medidas 13 x 5,2 x 6 cm. Para figuras de 10-12cm. Elaborado con madera.","",27.8,1,"H33  ",40,"11, 5, 2008",0
672,197,"Caja h. vacÌa","","Medidas 3 x 4 x 3,8cm. Elaborado con madera. Precio de la caja de herramientas vacÌa.","",4.2,1,"H34  ",40,"11, 5, 2008",0
673,197,"Caja herramientas","","Medidas 3 x 4 x 3,8cm. Elaborado con madera. Precio de la caja con las tres herramientas.","",11.5,1,"H35  ",20,"11, 5, 2008",0
674,197,"Torno alfarero","","Medidas 6,7 x 7,7 x 6,4cm. Elaborado con madera.","",16.9,1,"H36  ",15,"11, 5, 2008",0
