catid,artid,cat_name,art_details,art_name,ref,art_price
231,2051,Figura plástico clásica,Pastor de plástico de 10cms.,Pastor de 10cms,13P31896,3.1
231,2052,Figura plástico clásica,Pastor de plástico de 10cms.,Pastor de 10cms,13P31894,3.1
231,2053,Figura plástico clásica,Pastor de plástico de 10cms.,Pastor de 10cms,13P31895,3.1
231,2054,Figura plástico clásica,Pastor de plástico de 10cms.,Pastor de 10cms,13P31890,3.1
231,2055,Figura plástico clásica,Pastor de plástico de 10cms.,Pastor de 10cms,13P31891,3.1
231,2056,Figura plástico clásica,Pastor de plástico de 10cms.,Pastor de 10cms,13P31892,3.1
231,2057,Figura plástico clásica,Pastor de plástico de 10cms.,Pastor de 10cms,13P31893,3.1
231,2058,Figura plástico clásica,Pastor de plástico de 10cms.,Pastor de 10cms,13P31897,3.1
231,2059,Figura plástico clásica,Pastor de plástico de 10cms.,Pastor de 10cms,13P31898,3.1
231,2060,Figura plástico clásica,Soldado romano de plástico de 10cms (Precio unidad),Soldados romanos10cm,13P33043,6.4
231,2061,Figura plástico clásica,Herodes y soldados romanos de plástico de 10cms (Precio unidad),Herodes y romanos,13P33100,16.4
231,2062,Figura plástico clásica,Ángel volando de plástico,Ángel volando ,13P33096,2.8
231,2063,Figura plástico clásica,Ángel de pie de plástico,Ángel de pie,13P33095,2.6
231,2064,Figura plástico clásica,Meon de plástico de 7cms,Meon de 7cm,13P31604,2.7
231,2065,Figura plástico clásica,Cagon de plástico de 6cms,Cagon de 6cm,13P31624,1.5
231,2066,Figura plástico clásica,Cagon de plástico de 8cms,Cagon de 8cm,13P31690,1.95
231,2067,Figura plástico clásica,Cagon de plástico de 7cms,Cagon de 7cm,13P31619,1.6
198,2068,Plantas,Palmera de plástico de 23cms.,Palmera de 23cms,13P31513 ,2.6
198,2069,Plantas,Palmera de plástico de 20cms.,Palmera de 20cms,13P31512 ,2.45
198,2070,Plantas,Palmera de plástico de 20cms y 14cm (Doble palmera),Palmera de 20-14cm,13P31515 ,4
198,2071,Plantas,Palmera de plástico de 14cms,Palmera de 14cms,13P31511 ,1.8
198,2072,Plantas,Palmera de plástico de 12cms,Palmera de 12cms,13P31510   ,1.8
198,2073,Plantas,Triple palmera de plástico de 23cms,Triple palmera 23cm,13P32014 ,8.2
198,2074,Plantas,Triple palmera de plástico de 23cms,Doble palmera 23cm,13P32015 ,7
198,2075,Plantas,Palmera doble decorada de 19cm,Palmera doble 19cm,13P32013 ,6
198,2076,Plantas,Maceta con palmera de 5cms,Maceta con palmera,13C11724,2.5
198,2077,Plantas,Chumberas de plástico de 6cms.,Chumberas plástico,13p31586 ,1.4
198,2078,Plantas,Parra con uvas de plástico de 11X4X6cm,Parra con uvas,13C11234 ,6
198,2079,Plantas,Árbol de plástico de 12cms ,Árbol de plástico,13C11112,2.5
198,2080,Plantas,Naranjo de plástico de 12cms.,Naranjo de plástico,13C11110,4.6
198,2081,Plantas,Limonero de plástico de 12cms.,Limonero de plástico,13C11117,4.6
198,2082,Plantas,Haya con musgo de plástico de 18cms,Haya de plástico,13C11735,4.6
202,2083,Complementos de agua,Puente curvo de plástico de 25cms ,Puente curvo 25cms,13P31506,4
202,2084,Complementos de agua,Puente curvo de plástico de 20cms ,Puente curvo 20cms,13P31505,3.5
202,2085,Complementos de agua,Puente curvo de plástico de 20cms ,Puente curvo 15cms,13P31504,2.3
202,2086,Complementos de agua,Puente curvo de plástico de 10cms ,Puente curvo 10cms,13P31503,2.2
202,2087,Complementos de agua,Fuente de resina de 11X10X11,Fuente de resina ,13C13374,22
202,2088,Complementos de agua,Fuente de resina de 17X13X12cms,Fuente de resina ,13C13299,26
202,2089,Complementos de agua,Fuente de resina de 16X14X12cms,Fuente de resina ,13C13375,29
202,2090,Complementos de agua,Fuente de resina de 16X14X13cms,Fuente de resina ,13C13270,38
202,2091,Complementos de agua,Casa de noria de corcho con bomba de 22X18X16cms,Casa noria corcho,13C13373 ,46
202,2092,Complementos de agua,Noria de corcho de 20X16X14cms incluye bomba.,Noria de corcho,13C13297,39.5
202,2093,Complementos de agua,Río curva pequeño de 40X19X12cms incluye bomba,Río curva pequeño,13C13283,69.8
202,2094,Complementos de agua,Río curva pequeño de 40X19X12cms incluye bomba,Río curva grande,13C13284,79.8
202,2095,Complementos de agua,Río de corcho de 24cms,Río de 24cms,13C13371,45.8
202,2096,Complementos de agua,Río de corcho de 18cms. Incluye bomba.,Río de 18cms,13C13370,35
191,2097,Menaje varios,Cesto de costura 5X3.5cm,Cesto de costura,13M69417 ,5.2
206,2098,Animales resina,Jaula con pï¿½jaro de 5cms,Jaula con pï¿½jaro,13M68336  ,5.7
191,2099,Menaje varios,Cojï¿½n de bolillos de 4cms,Cojï¿½n de bolillos ,13M66524 ,2.8
206,2100,Animales resina,Pï¿½jaro de 3cms de corcho y con plumas de colores,Pajaro plumas,13M68253  ,0.8
206,2101,Animales resina,Pï¿½jaro de 3cms de corcho y con plumas blacas,Pajaro plumas,13M68252  ,0.8
206,2102,Animales resina,Nido de pato de 3cms,Nido de pato,13M68108,1
206,2103,Animales resina,Pï¿½jaro con pelo de 4cms.,Pajaro con pelo,13M68255 ,1
192,2104,Cestos,Nido de pï¿½jaro de 4cms,Nido de pï¿½jaro,13M68250 ,0.8
192,2105,Cestos,Nido de pï¿½jaro de 3cms,Nido de pï¿½jaro peq,13M68251 ,0.8
232,2106,Animales de plástico,Jaula metalica con gallina de plastico  2.5cms,Jaula con gallina,13M66532  ,2.8
232,2107,Animales de plástico,Cesto con gallina plastico de 5cms,Cesto con gallina,13M66418  ,3
206,2108,Animales resina,Jaula con gallina de 5X5cms,Jaula con gallina,13M68436 ,5.3
242,2109,Montserrat Ribes 20 cm,Camellero de 20 cms ,Camellero 20cms,318,134.5
215,2110,Montserrat Ribes Animales,Camello  de carga de 20 cms ,Camello carga 21cm,317,209.5
243,2111,Montserrat Ribes 22-30 cm,Pastores doblando ropa de 30cm,Doblando ropa 30cm,72,373.5
242,2112,Montserrat Ribes 20 cm,San Francisco de Asis de 20 cms,San Fracisco de Asis,378,143.5
243,2113,Montserrat Ribes 22-30 cm,Santa Casa de 30cms,Santa Casa 30cm,81,373.5
206,2115,Animales resina,ï¿½guila de resina de 3cms.,Aguila de resina,624,1.5
206,2116,Animales resina,Ciervo de resina de 6cms,Ciervo de resina,544,1.5
206,2117,Animales resina,Cerdos de resina pequeÃ±os 3cm ,Cerdos de resina,539,1.5
206,2118,Animales resina,Cobra en cesto de 3cm,Cobra en cesto,595,1.8
232,2119,Animales de plástico,Comadreja marrón de 3.5X2cm,Comadreja marrón,583,1.3
206,2120,Animales resina,Conejo pequeï¿½o de resina de 2cms,Conejo pequeÃ±o ,520,1.3
206,2121,Animales resina,"Conejo pequeï¿½o de resina de 3 cms, en 3 colores (Precio unidad)",Conejos en 3 colores,712,1.9
206,2122,Animales resina,Conejo de resina de dos medidas 2cm y 3cm ,Conejo de resina,717,1.3
206,2123,Animales resina,Cria de cisne de resina de 1.5cm,Cria de cisne,543,1.2
